2022-10-2 19:53:33 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:54:25 INFO  openCart:28 - Username provided
2022-10-2 19:54:25 INFO  openCart:31 - Password provided
2022-10-2 19:54:33 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:54:33 INFO  openCart:28 - Username provided
2022-10-2 19:54:33 INFO  openCart:31 - Password provided
2022-10-2 19:54:39 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:54:39 INFO  openCart:28 - Username provided
2022-10-2 19:54:39 INFO  openCart:31 - Password provided
2022-10-2 19:54:46 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:57:15 INFO  openCart:28 - Username provided
2022-10-2 19:57:15 INFO  openCart:31 - Password provided
2022-10-2 19:57:23 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:57:23 INFO  openCart:28 - Username provided
2022-10-2 19:57:24 INFO  openCart:31 - Password provided
2022-10-2 19:57:30 INFO  openCart:34 - Login Button Clicked
2022-10-2 19:57:30 INFO  openCart:28 - Username provided
2022-10-2 19:57:30 INFO  openCart:31 - Password provided
2022-10-2 19:57:38 INFO  openCart:34 - Login Button Clicked
2022-10-2 20:14:42 INFO  openCart:29 - Username provided
2022-10-2 20:14:42 INFO  openCart:32 - Password provided
2022-10-2 20:14:50 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:14:50 WARN  openCart:41 - Login Failed
2022-10-2 20:14:50 INFO  openCart:29 - Username provided
2022-10-2 20:14:50 INFO  openCart:32 - Password provided
2022-10-2 20:15:00 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:15:00 WARN  openCart:41 - Login Failed
2022-10-2 20:15:00 INFO  openCart:29 - Username provided
2022-10-2 20:15:00 INFO  openCart:32 - Password provided
2022-10-2 20:15:10 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:15:10 WARN  openCart:41 - Login Failed
2022-10-2 20:40:17 INFO  openCart:29 - Username provided
2022-10-2 20:40:17 INFO  openCart:32 - Password provided
2022-10-2 20:40:25 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:40:25 WARN  openCart:41 - Login Failed
2022-10-2 20:40:25 INFO  openCart:29 - Username provided
2022-10-2 20:40:25 INFO  openCart:32 - Password provided
2022-10-2 20:40:30 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:40:30 WARN  openCart:41 - Login Failed
2022-10-2 20:40:31 INFO  openCart:29 - Username provided
2022-10-2 20:40:31 INFO  openCart:32 - Password provided
2022-10-2 20:40:36 INFO  openCart:35 - Login Button Clicked
2022-10-2 20:40:36 WARN  openCart:41 - Login Failed
2022-10-2 22:53:29 INFO  openCart:29 - Username provided
2022-10-2 22:53:29 INFO  openCart:32 - Password provided
2022-10-2 22:53:39 INFO  openCart:35 - Login Button Clicked
2022-10-2 22:53:40 WARN  openCart:43 - Login Failed
2022-10-2 22:53:40 INFO  openCart:29 - Username provided
2022-10-2 22:53:40 INFO  openCart:32 - Password provided
2022-10-2 22:53:48 INFO  openCart:35 - Login Button Clicked
2022-10-2 22:53:48 WARN  openCart:43 - Login Failed
2022-10-2 22:53:48 INFO  openCart:29 - Username provided
2022-10-2 22:53:48 INFO  openCart:32 - Password provided
2022-10-2 22:53:57 INFO  openCart:35 - Login Button Clicked
